shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lon,shape_pt_lat
DDD_12_Palais-1,1,0,-17.43338416427676663,14.65101680877327972
DDD_12_Palais-1,2,0.278668,-17.43347015082120777,14.65275926751704105
DDD_12_Palais-1,3,0.861747,-17.43537800000000004,14.65779500000000013
DDD_12_Palais-1,4,1.323803,-17.43691335399516618,14.66167967999383315
DDD_12_Palais-1,5,1.589848,-17.43630245207258156,14.66270781584093363
DDD_12_Palais-1,6,1.726688,-17.4350644607340115,14.66246201691518181
DDD_12_Palais-1,7,2.553316,-17.43700132950242221,14.66667188118292131
DDD_12_Palais-1,8,3.288049,-17.44034933494159034,14.67171895451120811
DDD_12_Palais-1,9,3.881891,-17.44397457264916795,14.67566526499543045
DDD_12_Palais-1,10,4.223182,-17.44618384400649447,14.67779890991147163
DDD_12_Palais-1,11,4.500823,-17.4480177251697306,14.67954928259483438
DDD_12_Palais-1,12,4.89684,-17.45066067995594139,14.68202339060960959
DDD_12_Palais-1,13,5.180417,-17.45255445327678245,14.68376742155528447
DDD_12_Palais-1,14,5.345094,-17.45339518954944324,14.68473881215789589
DDD_12_Palais-1,15,5.49504,-17.45430780731027554,14.68563997990117365
DDD_12_Palais-1,16,5.944106,-17.45716913486290878,14.68852206305796493
DDD_12_Palais-1,17,6.274041,-17.45910387034813738,14.69080838892324969
DDD_12_Palais-1,18,6.718033,-17.46221220982804923,14.69336724079975554
DDD_12_Palais-1,19,7.147655,-17.46521068605792237,14.69591705749196286
DDD_12_Palais-1,20,7.476837,-17.46705402748468927,14.69802520874316976
DDD_12_Palais-1,21,7.808354,-17.46590690977692262,14.7005505777224279
DDD_12_Palais-1,22,8.521465,-17.46157763817068087,14.70539613583689587
DDD_12_Palais-1,23,8.894317,-17.45933192944994872,14.70794762504098685
DDD_12_Palais-1,24,9.219831,-17.45742030247532384,14.71011109153627494
DDD_12_Palais-1,25,9.834671,-17.45384759999999957,14.71414500000000025
DDD_12_Palais-1,26,10.11209,-17.45219140000000024,14.71604310000000027
DDD_12_Palais-1,27,10.45941,-17.45010368278329338,14.71842133925283846
DDD_12_Palais-1,28,11.41627,-17.44493118240840346,14.72539512420178376
DDD_12_Palais-1,29,11.752823,-17.44262820000000147,14.72642289999999932
DDD_12_Palais-1,30,12.596657,-17.43659433918369217,14.72212416721168893
DDD_12_Palais-1,31,13.699465,-17.43058650000000043,14.72353670000000037
DDD_12_Palais-1,32,14.007768,-17.42935712866536946,14.7258883065811812
DDD_12_Palais-1,33,14.504024,-17.42645557271157841,14.72919341112264213
DDD_12_Palais-1,34,14.884056,-17.42360171839347771,14.73092677828775798
DDD_12_Palais-1,35,15.844741,-17.41615706620476089,14.73548320765422481
DDD_12_Palais-1,36,17.18198,-17.40451253968904055,14.73896062387042782
DDD_12_Palais-1,37,17.801668,-17.39913533089762865,14.7406572350844165
DDD_12_Palais-1,38,18.211734,-17.39621410000000168,14.74265899999999974
DDD_12_Palais-1,39,19.082765,-17.40012537131944015,14.74481400284562405
DDD_12_Palais-1,40,19.443731,-17.39965092993650941,14.74706336768037929
DDD_12_Palais-1,41,19.863655,-17.39755608566947842,14.74969323737458105
DDD_12_Palais-1,42,20.057909,-17.39650963821090812,14.75109641002381444
DDD_12_Palais-1,43,20.442084,-17.39438629930952018,14.75386314191230674
DDD_12_Palais-1,44,20.620692,-17.3934134678128629,14.75516183379397006
DDD_12_Palais-1,45,20.979808,-17.39144380000000112,14.7577657999999996
DDD_12_Palais-1,46,21.271838,-17.38986304564984309,14.75981314293520086
DDD_12_Palais-1,47,21.585528,-17.38815543053335944,14.76207780298540762
DDD_12_Palais-1,48,21.870855,-17.3889538541202775,14.76359565755799075
DDD_12_Palais-1,49,22.303413,-17.39244424831437641,14.7654200295538871
DDD_12_Palais-1,50,22.648933,-17.39554299871109677,14.76617844753935671
DDD_12_Palais-1,51,23.200806,-17.39666998436078416,14.76927189836206722
DDD_12_Palais-1,52,23.711808,-17.40026105589365457,14.77218958458966647
DDD_12_Palais-1,53,24.233396,-17.40385372093783189,14.77255408987851304
DDD_12_Palais-1,54,24.590213,-17.4027444460858618,14.77531147028708425
DDD_12_Palais-1,55,24.789615,-17.40106267568178922,14.77562976339776846
DDD_12_Palais-1,56,25.321959,-17.39633483090887722,14.7765334348455557
DDD_12_Palais-1,57,25.5621,-17.39416283566458077,14.77653704137734891
DDD_12_Palais-1,58,25.923257,-17.39138510581285857,14.77491121955799791
DDD_12_Palais-1,59,26.263082,-17.38932132376299577,14.7731173894829535
DDD_12_Palais-1,60,26.323806,-17.38919905521609621,14.77268649994417871
DDD_12_Guediawaye,1,0,-17.38919905521609621,14.77268649994417871
DDD_12_Guediawaye,2,0.04662,-17.38930818892703556,14.77299043966654679
DDD_12_Guediawaye,3,0.169119,-17.38878241195706309,14.77307358710359253
DDD_12_Guediawaye,4,0.383986,-17.38881954120555307,14.77341782510406709
DDD_12_Guediawaye,5,0.664461,-17.39092765109978345,14.77489452686970139
DDD_12_Guediawaye,6,0.949201,-17.39309793397621817,14.77636007746279923
DDD_12_Guediawaye,7,1.274204,-17.39601436446726979,14.77677918241815469
DDD_12_Guediawaye,8,1.771024,-17.40044747775488787,14.77598643595118055
DDD_12_Guediawaye,9,2.205179,-17.40343362836154739,14.77474332643810762
DDD_12_Guediawaye,10,2.447961,-17.40390189339485971,14.77269087160776806
DDD_12_Guediawaye,11,3.191019,-17.39874018552138679,14.7708281373824839
DDD_12_Guediawaye,12,3.658683,-17.39654343916190271,14.76800610524762369
