stop_id,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type
D_69,Croisement Station Total,,-17.48705423279293925,14.71940891257754735,,,0
D_70,Diaba Keur Yaye Boye,,-17.48744217985508698,14.72162612292872907,,,0
D_71,Touba Quincaillerie Générale Fall Et Frères,,-17.48816723400130968,14.72489702816219292,,,0
D_72,En Face Dibiterie Haoussa De La Route Du Marché Ouakam,,-17.48802548648562549,14.7254453961044387,,,0
D_73,En Face Bank Of Africa,,-17.50735748193942953,14.73082580062065361,,,0
D_74,Abribus En Face Laboratoire D’Analyse Bioalmadie,,-17.50881266465978214,14.73457477536187099,,,0
D_75,Des Mamelles,,-17.50125692289012491,14.72691305285039043,,,0
D_76,Terminus 221 Des Almadies,,-17.51860879999999909,14.74170398000000048,,,0
D_77,En Face Celux Fitness,,-17.47023280000000156,14.74273009999999928,,,0
D_78,Foire Juste Après La Brigade Foire,,-17.46688965778483649,14.74608899726125344,,,0
D_79,Aéroport Lss Près De L'École Al Qalam,,-17.48911497121829228,14.75046571672972995,,,0
D_80,Ecobank En Face L'Ecole Ababacar Laye,,-17.46859949999999984,14.75473359999999978,,,0
D_81,Complexe Al Mahdi,,-17.46756296527198771,14.755275475311036,,,0
D_82,Layenne À Côté De La Bambinerie Le Petit Bâteau,,-17.47118354599925638,14.75612499064777694,,,0
D_83,Layenne En Face Mairie De Yoff,,-17.47414792853444254,14.75663488148333435,,,0
D_84,Mbenguène,,-17.47338084204148601,14.75639365524454583,,,0
D_85,Yoff Layenne À Côté Du Fast Food Khèweul,,-17.4680993264458948,14.75570571948554388,,,0
D_86,Prés De L'Hôpital Le Dantec,,-17.43573940882595963,14.65837599491750076,,,0
D_87,Cathédrale De Dakar,,-17.437579856438294,14.66577381083308573,,,0
D_88,Face Bureau Regional Pam,,-17.43691335399516618,14.66167967999383315,,,0
D_89,Prés Du Bureau Regional Pam,,-17.43712308760453311,14.66191526651491017,,,0
D_90,Gare Ter En Face Dakarnave,,-17.43317131185308355,14.67623548967103453,,,0
D_91,Portail Du Dakarnave À  Côté De La Pharmacie Du Port,,-17.43292653402345138,14.67587515456831504,,,0
D_92,A Coté De La Pharmacie Nelson Mandela,,-17.43530093889762966,14.66260159805647412,,,0
D_93,Face Embassade Espagne,,-17.43630245207258156,14.66270781584093363,,,0
D_94,Fann Hock,,-17.46204745751936471,14.67906315649034887,,,0
D_95,En Face Théà¢Tre Daniel Sorano,,-17.43945838140805193,14.66651018383870486,,,0
D_96,Saprolait,,-17.43885821540425951,14.67570399518659663,,,0
D_97,Sorano,,-17.44016190855981563,14.66663242809746315,,,0
D_98,Saprolait,,-17.43884301181235585,14.67562236810885068,,,0
D_99,Gare Ter De Dakar En Face Du Portail De Dakarnave,,-17.43322999999999823,14.67570330000000034,,,0
D_100,Sandaga Pharmacie Gambetta,,-17.43743320000000097,14.67184879999999936,,,0
D_101,Face Institution Sainte Jeanne D'Arc,,-17.43609623748347559,14.6653074119653013,,,0
D_102,En Face Direction Général Des Douanes,,-17.44231475287191913,14.66744229458760529,,,0
D_103,Sandaga Pharmacie Gambetta,,-17.4373486887732092,14.67183880932921092,,,0
D_104,Quartier Contre Amiral Protet,,-17.43632453681370009,14.68196767948594861,,,0
D_105,Gare Ter En Face Dakarnave,,-17.43303143880757133,14.67578690914656647,,,0
D_106,En Face De La Direction Générale Du Budget,,-17.43700132950242221,14.66667188118292131,,,0
D_107,Polyclinique Ave Malick Sy,,-17.44507040305572332,14.67792317373176303,,,0
D_108,Salle De Vente (Dakar Plateau),,-17.43750072469223866,14.67368095836517838,,,0
D_109,Saf Industrie Route De Ruffisque,,-17.4376080999999985,14.68887070000000072,,,0
D_110,Salle De Vente (Dakar Plateau),,-17.43741653480207887,14.67436486603568824,,,0
D_111,Asecna,,-17.43928775374372009,14.66787958090102073,,,0
D_112,Cimetière Des Abattoirs Corniche Ouest,,-17.45341252330428006,14.67533997610861007,,,0
D_113,Banque Atlantique Zone Indistrielle,,-17.4373460716046047,14.69222438592805169,,,0
D_114,Avenue Ponpidou En Face Alimentation Catim,,-17.43611875921332555,14.6692510043572355,,,0
D_115,Dépôt Gaz En Face Direction Du Service De L'Intendance Des Armées (Dakar Plateau),,-17.4374690428975434,14.67849288232365979,,,0
D_116,Sénégalaise De L'Automobile Route De Rufisque,,-17.43719526406451337,14.69377016198041019,,,0
D_117,Discover,,-17.44025737106012031,14.67054914979577873,,,0
D_118,En Face Prison Civile De Reubeuss,,-17.44748885676495576,14.67211051398546395,,,0
D_119,Devant Strass Avenue Ponpidou,,-17.43571336807575634,14.66937083616298487,,,0
D_120,Intendance Près De L'Hôtel Pacha,,-17.43762603479355633,14.67822005399490948,,,0
D_121,Commissariat Bel Air,,-17.43602683917972485,14.69738104916238974,,,0
D_122,Poste Ponty,,-17.43344219237969739,14.66951517893279799,,,0
D_123,Pharmacie Bel Air,,-17.43219809192646252,14.69286596318604587,,,0
D_124,Centrale Électrique De Bel Air,,-17.43442425282613684,14.68985114533146863,,,0
D_125,Centrale Electrique De Bel Air,,-17.43474705513585477,14.68927056482036164,,,0
D_126,Cercle Mess De Officiers Colonel Emmanuel Gomis ( Port Môle 08),,-17.43249551219304294,14.67410693014117129,,,0
D_127,Armurerie Coutellerie Amadou Niang,,-17.43604055375275763,14.68745794784674885,,,0
D_128,Cbao Ponty,,-17.43302131755284279,14.66942939031692994,,,0
D_129,Bicis Place De L'Indépendance,,-17.43248300999999856,14.6683416900000001,,,0
D_130,Agence Nationale Des Affaires Maritimes,,-17.43630459535833666,14.68716820824849378,,,0
D_131,Cercle Mess Des Officiers Colonel Emmanuel Gomis Ou Embarcadère (Port Môle 08),,-17.43253010036462314,14.67398375323463888,,,0
D_132,Direction Des Douanes À  Côté De Bridge Bank,,-17.44234207431470907,14.66734317799296505,,,0
D_133,Royal Air Maroc Place De L'Indépendance,,-17.43159259531453742,14.66944709273246694,,,0
D_134,En Face Restaurant Le Taouk Avenue Assane 2 Du,,-17.4302905578067211,14.66967313883595558,,,0
D_135,El Malick,,-17.44034933494159034,14.67171895451120811,,,0
D_136,Immeuble Préférence,,-17.43864524205218913,14.66911064043216761,,,0
D_137,Devant Cité Peytavin,,-17.43893992193524767,14.6691618054919779,,,0
D_138,Prison Civile De Rebeuss,,-17.44689288621527723,14.67175435277298945,,,0
D_139,Supermarché Utile Marie Dakar Ville,,-17.43286324907219864,14.67297572230286917,,,0
D_140,Terminus Leclerc,,-17.42749293667504418,14.67210720482658992,,,0
D_141,Cbao Sise À  L'Immeuble Elhadj Elimane Ndour,,-17.45363558548328342,14.67585081393262136,,,0
D_142,En Face Marché Poissson Doumbédioune,,-17.45857747494904189,14.67824535033189726,,,0
D_143,En Face Marché Poisson Doumbédioune,,-17.45856457679583329,14.67823287312204528,,,0
D_144,Fann Hoch En Face L'Océan Atlantique,,-17.46256190000000075,14.67878490000000014,,,0
D_145,Entre La Marie De Dakar Ville,,-17.43070015803424866,14.67311029828587543,,,0
D_146,Entre La Mairie De Dakar Ville,,-17.43039608619618974,14.67301028554138931,,,0
D_147,Sen Horlogerie Serigne Fallou Mbacké,,-17.44332597781720295,14.67487069785382658,,,0
D_148,Ecobank Ave Blaise Diagne,,-17.44715519572906715,14.67847392674941354,,,0
D_149,Acep Agence Blaise Diagne,,-17.4480177251697306,14.67954928259483438,,,0
D_150,Origine Afrik Médina Rue 6,,-17.44977201882908702,14.6750242282213712,,,0
D_151,Pharmacie Lota Médina Rue 6,,-17.45281758335460864,14.6778516588434691,,,0
D_152,Ennajem Sport,,-17.45385066742439406,14.67890617935104558,,,0
D_153,Askia Assurance Médina Rue 6,,-17.45475224042422724,14.67969008042283363,,,0
D_154,Polyclinique Ave Blaise Diagne,,-17.44618384400649447,14.67779890991147163,,,0
D_155,Station Froid Auto Ave Malicle Sy,,-17.44469335397653253,14.67813937284052628,,,0
D_156,Etat Civil Dakar HôPital Principal,,-17.4350644607340115,14.66246201691518181,,,0
D_157,Pharmacie Sorano,,-17.43802747581935719,14.66593177343607124,,,0
D_158,Face CathéDrale De Dakar,,-17.43722906304356357,14.66577866362279359,,,0
D_159,Commissariat Bel Air,,-17.43594625815319432,14.69722177149288989,,,0
D_160,En Face Du Camp Militaire De Bargny,,-17.23530339422626767,14.69557794206786916,,,0
D_161,Pharmacie Maïmouna Samba En Face Quincaillerie,,-17.22682754778544023,14.69766388648405808,,,0
D_162,Jaxaay 1 En Face Pressing Moderne 2,,-17.28888669999999905,14.75627169999999921,,,0
D_163,Diamniadio En Face Station Oil Libya,,-17.17996870871298398,14.72095112175370168,,,0
D_164,Poste Courant Keur Daouda Sarr,,-17.24710266424663274,14.74121860082093605,,,0
D_165,En Face Lavage Moderne,,-17.22633821126803966,14.7745057070220529,,,0
D_166,Face Superette,,-17.2674417499651156,14.71227176086968669,,,0
D_167,Diamniadio,,-17.17978764718197837,14.72149812501680444,,,0
D_168,Station Oil Libya,,-17.17952427913946067,14.72143217509945323,,,0
D_169,Pharmacie Keur Ndiaye Lô,,-17.24444286481603683,14.74347112156862316,,,0
D_170,Station Eydon,,-17.21767330000000129,14.70017679999999949,,,0
D_171,Khal (Rufisque),,-17.26549114157624487,14.72032405339582262,,,0
D_172,Mairie (Rufisque Nord),,-17.26336238465214734,14.7219631810117253,,,0
D_173,Boulangerie Keur Ndiaye Lô,,-17.24257456518221332,14.74485159145009838,,,0
D_174,Diamniadio,,-17.16753572040449072,14.72589566676147044,,,0
D_175,En Face Arrêt Baye Niass,,-17.24135792079459151,14.74628890655406721,,,0
D_176,En Face Sedima En Allant Vers Station Shell Jaxaay,,-17.28552927521095484,14.75098270704904202,,,0
D_177,En Face Prestige Céramique Carreaux,,-17.28513978476551571,14.75201905953957393,,,0
D_178,Diamniadio,,-17.16695515296634866,14.72603604109597519,,,0
D_179,Arrêt Baye Niass Devant Meta Alu Constructions,,-17.24081999999999937,14.74640130000000049,,,0
D_180,Poste Courant Keur Daouda Sarr,,-17.24743021914970242,14.74133927637481456,,,0
D_181,Keur Ndiaye Lô Devant Nma,,-17.2445810520407683,14.74349021262531423,,,0
D_182,En Face Ferme De Noflaye,,-17.20791447718815448,14.78769628146914528,,,0
D_183,Devant La Ferme De Noflaye,,-17.20825471684314323,14.78765343881959993,,,0
D_184,Devant La Forêt De Noflaye,,-17.20573870999999855,14.78910128000000057,,,0
D_185,Rond-Point Dioutibeu (Rufisque Nord),,-17.2606682980149948,14.72406303141758954,,,0
D_186,En Face Du Campement Le Verger,,-17.20499257000000171,14.78932733999999982,,,0
D_187,En Face Vulgarisateur Près Restaurant,,-17.28223501659290307,14.73282017186584802,,,0
D_188,En Face Restaurant Little Heaven,,-17.28544550000000157,14.7350083999999999,,,0
D_189,En Face Medinatou Nour Céramique Près Menuiserie Métallique,,-17.28763570077301992,14.73674452272557467,,,0
D_190,Près De La Boucherie Côté Vendeur Poisson,,-17.28838656415429398,14.73882903372186881,,,0
D_191,Devant La Cité Cidc,,-17.19483819686648829,14.79544913168420806,,,0
D_192,Devant Sedima,,-17.19390074000000013,14.79581283999999997,,,0
D_193,Elton Cité Dabakh,,-17.23784240919448507,14.75026669832811521,,,0
D_194,En Face Cité Dabakh,,-17.23792236973758563,14.75086363992010341,,,0
D_195,Ecole Privée Alimatou Sadiya,,-17.19012864703746146,14.79852754993020802,,,0
D_196,Dépôt Sedima Ndoukhourane,,-17.16474339364674151,14.68488833085410405,,,0
D_197,Ndoukhoura Wolof En Face Dépôt De Ciment,,-17.16737446999999861,14.68123652999999962,,,0
D_198,Touba Ngayame,,-17.17006040381492937,14.65867432947282545,,,0
D_199,Ndoukhoura Wolof,,-17.16481065787034055,14.68495873121859319,,,0
D_200,Zac Mbao En Face Complexe Deff Sport,,-17.28902010983210147,14.73982399634316565,,,0
D_201,Complexe Horizon Cité Dabakh,,-17.23660535082582257,14.753296497909961,,,0
D_202,Devant Hôpital Youssou Mbargane Diop (En Face Sen AssuranceRufisque Nord),,-17.25899882986994527,14.72623436708848921,,,0
D_203,Rond-Point Bargny À Côté De Edk Bargny,,-17.22700247425353481,14.69780838259697298,,,0
D_204,Horizon En Face Quincaillerie Wa Keur Serigne Touba,,-17.23468071680299118,14.75675015799087042,,,0
D_205,Champs De Course Près Du Lycée Moderne,,-17.266630765092426,14.71702287488986016,,,0
D_206,Arrêt Bay Peulh,,-17.1895528000000013,14.7181911999999997,,,0
D_207,Poste Douane,,-17.18847481069004601,14.71932463059803808,,,0
D_208,Iacom,,-17.1835405739896423,14.72064227169287953,,,0
D_209,Horizon En Face Station Star,,-17.23454814342011687,14.75722834211684464,,,0
D_210,Hlm Rufisque En Face Le Groupe Scolaire Jupiter,,-17.28857880821607296,14.73883049647247212,,,0
D_211,Hml Rufisque En Face La Boutique Medinatou Nour Céramique,,-17.28787688775222975,14.73677765031210996,,,0
D_212,Jaxaay En Face Le Groupe Scolaire La Source Du Savoir,,-17.2874882523670621,14.75555908317088161,,,0
D_213,Sedima Près Du Rond-Point Sedima,,-17.28534507627547256,14.75092531023240561,,,0
D_214,Rond-Point Sipress Route De Sedima,,-17.28846461999999917,14.74064210999999958,,,0
D_215,Sedima En Face Prestige Céramique Carreaux Et Sanitaires,,-17.28494431342630477,14.75200598212962433,,,0
D_216,Centre De Santé En Face Nsia,,-17.18416654919502307,14.72025774252903751,,,0
D_217,Todd-Route De Yenne,,-17.1826126310863998,14.64903909335212617,,,0
D_218,Près De L'École Élémentaire El Hadj Momar Diop,,-17.26821331216174116,14.71713519225600209,,,0
D_219,Champs De Course En Face Rond-Point Lycée Moderne,,-17.2680821880462041,14.71767557900500201,,,0
D_220,En Face Star Énergie,,-17.23090112817399344,14.76237150221051664,,,0
D_221,Près Du Rond-Point Du Lycée Moderne,,-17.26782119220748513,14.71782000600969198,,,0
D_222,Sipres Zak Mbao En Face École Zac Edu,,-17.29353049999999925,14.74139349999999915,,,0
D_223,Sipress Zac Mbao En Face Fulani Électroménager,,-17.29410967372297492,14.74134393837609913,,,0
D_224,Arrêt Doudou Bass,,-17.2294300999999983,14.76530870000000029,,,0
D_225,Arrêt Boulangerie Champs De Course En Face Sm Plus Prestation De Services,,-17.26665780200593048,14.71908474856221538,,,0
D_226,En Face Doudou Bass,,-17.22944611218398947,14.76483927093791415,,,0
D_227,Rond-Point Hlm,,-17.28236998436785399,14.72825322990115637,,,0
D_228,Rond-Point Hlm Devant Le Stade Galandou Diouf,,-17.28216543858273369,14.72816424702778448,,,0
D_229,Rond-Point Sipress Route De Zac Mbao,,-17.29027342999999917,14.74005666999999953,,,0
D_230,Ndiakhirate Face S.G.F,,-17.227872842222542,14.77012427404364914,,,0
D_231,Sortie Péage Keur Ndiaye Lo (Rufisque),,-17.25552308162255244,14.73271315708946183,,,0
D_232,Sortie Péage Keur Ndiaye Lo (Rufisque),,-17.255573092503937,14.73300670973808835,,,0
D_233,Arrêt Baye Peulhdevant Station Total Énergie,,-17.1895813000000004,14.71819849999999974,,,0
D_234,Ara Sangalkam,,-17.22643574077465445,14.77457679838469318,,,0
D_235,Chérif Rufisque Nord,,-17.26167235921953491,14.72307101158652465,,,0
D_236,Croisement Ndiakhirate,,-17.22844993182984297,14.76951562859168199,,,0
D_237,Sortie Camions Devant Station Eydon,,-17.2186771920025059,14.70021069864013441,,,0
D_238,Cité Assy,,-17.23571700473096158,14.77124947990481196,,,0
D_239,Devant Afao Wawa,,-17.15779110000000074,14.81690820000000031,,,0
D_240,En Face Marché Gorom1,,-17.15506695432401685,14.81939955603498227,,,0
D_241,Mbissane,,-17.23609452549150589,14.77151890443646032,,,0
D_242,Devant Mbaye Et Frères,,-17.1747468845160256,14.80855445899293166,,,0
D_243,Près Du Croisement 'Gorom 2 Devant Boucherie Pape Abdou,,-17.17132540000000063,14.81063690000000044,,,0
D_244,En Face Boulangerie Gorom 2,,-17.17038499999999956,14.81132430000000078,,,0
D_245,Mairie De Bambilor,,-17.18786382200259411,14.80033957805269296,,,0
D_246,Devant Boutique Free Route Bambilor,,-17.18500321851966106,14.80258162965971636,,,0
D_247,En Face Arrêt Niary Baye Fall,,-17.18228566554577696,14.80417635096198303,,,0
D_248,Niary Baye Fall,,-17.18222640000000112,14.8040976999999998,,,0
D_249,En Face Station Shell,,-17.17982214252064566,14.80555311184684086,,,0
D_250,Station Shell Bambilor Dn Face Groupe Sy Energie Management,,-17.18005046904492517,14.80556666641124153,,,0
D_251,En Face Brigade De Proximité De Bambilor,,-17.17767106631820795,14.80695019570477911,,,0
D_252,Devant Xelcom Alu,,-17.17506547990152654,14.80861477113105273,,,0
D_253,Mère Thérésa,,-17.2399208545923841,14.77198531087382527,,,0
D_254,Dal Diam Mère Thérésa,,-17.23986409999999836,14.77211709999999911,,,0
D_255,En Face Hôpital Youssou Mbargane Diop,,-17.25913407518305576,14.72561593103495703,,,0
D_256,Près De La Pharmacie Rassoul (Rufisque Nord),,-17.25986748844794505,14.72233301916294579,,,0
D_257,Csfp-Btp,,-17.17636377195795561,14.71868853276657951,,,0
D_258,Diamniadio En Face Garage Modou Talibe Cheikh À Côté De Petrosen,,-17.17421795803499052,14.71674974549437387,,,0
D_259,Diamniadio En Face Csfp-Btp,,-17.17163243988039767,14.71337058640225948,,,0
D_260,Diamniadio En Face Sen Boss,,-17.16805660938916489,14.7089869210415749,,,0
D_261,Diamniadio En Face Sinotruk,,-17.1650499854481815,14.70620480113273842,,,0
D_262,Dougar,,-17.16085320568353012,14.70223556126637732,,,0
D_263,Croisement Yenne Près Du Groupe Scolaire Iba Der Thiam,,-17.15887820000000019,14.69965849999999996,,,0
D_264,Diamniadio Bounka Bambara Près De Ste Genetrans,,-17.16085102768434467,14.69424431283503552,,,0
D_265,Diamniadio Arrêt Youga Cité Fall,,-17.1607283259784289,14.69343606429142746,,,0
D_266,Croisement Ment Yenne En Face Groupe Scolaire Iba Der Thiam,,-17.15887793072305456,14.69936412168350515,,,0
D_267,Diamniadio Dougar En Face Restaurant Wa Keur Naby,,-17.16122613078615444,14.70279009743266663,,,0
D_268,Diamniadio Devant Sinotruk,,-17.1649215124964023,14.70626348144724282,,,0
D_269,Diamniadio Devant Sen Boss,,-17.16782570000000163,14.70891879999999929,,,0
D_270,Diamniadio À Côté De Csfp-Btp,,-17.17152517144551283,14.71351152963797837,,,0
D_271,Diamniadio Devant Garage Modou Talibe Cheikh À Côté De Petrosen,,-17.17425589564473043,14.71659624241329034,,,0
D_272,Diamniadio Talli Boune En Face Olam Agri Près Du Panneau Publicitaire,,-17.17640477386545683,14.71899932519291809,,,0
D_273,Station Oil Libya,,-17.1785221984410903,14.72069749657030258,,,0
D_274,A 5M Du Stade De Bargny,,-17.23765072814288146,14.70400207557055339,,,0
D_275,Route De Sococim,,-17.23799239999999955,14.70466419999999985,,,0
D_276,Rn1 Pharmacie Du Boulevard,,-17.27664721570794981,14.71739225197148038,,,0
D_277,Mbalka Thiokho,,-17.27941902430881171,14.71889196390116439,,,0
D_278,Rn1 Route De Rond-Point Zac Mbao,,-17.28730410279898777,14.72227333335066213,,,0
D_279,Serigne Assane Près Du Terminus 32,,-17.37283501146037423,14.78272795326824429,,,0
D_280,Devant Groupe Scolaire Dabakh Malick,,-17.37261209957570784,14.78333863088401756,,,0
D_281,Alioune Ndiaye,,-17.30605065169704915,14.76516941303319008,,,0
D_282,Route De Rufisque Devant Keur Serigne Fallou Face Atelier Menuisier Métallique,,-17.31948139339196757,14.74630584574741121,,,0
D_283,Devant La Mosquée Diamono,,-17.3860882066031337,14.77953103540358093,,,0
D_284,Devant Mutuelle De Santé,,-17.386243006523042,14.77911492933002613,,,0
D_285,Devant Pharmacie Malabo En Face Mosquée Keur Mbaye Fall,,-17.31505420520590377,14.7435796340140346,,,0
D_286,Texaco Près De La Station Shell,,-17.38601265564203047,14.76163139272082958,,,0
D_287,Station Keur Massar En Face École De Formation Ispm,,-17.31610354042950917,14.77434860641847258,,,0
D_288,Tivaoune Peulh Apix Rond-Point Mandoumbe En Face École Élémentaire Sakina,,-17.28756083788751852,14.81142951551607645,,,0
D_289,Tivaoune Peulh Nimzat Sarahi Rond Poind Mandoumbe Pres De L’École Élémentaire Sakina,,-17.28736363834677547,14.81150309858544212,,,0
D_290,Complexe Franco Arabe En Face Restaurant Keita,,-17.28921453056058866,14.78644298227409593,,,0
D_291,Porte Daray Sérigne Saliou Mbacké,,-17.28844482664634441,14.78627081323791437,,,0
D_292,Prêts Institut Supérieur Informatique En Face Free Money,,-17.28563741778001983,14.78639160926953267,,,0
D_293,Tally Bou Mague (Près De La Grande Mosquée De Pikine En Face Diodio Onglerie Bail Pro),,-17.3913593000000013,14.76559469999999941,,,0
D_294,Tally Bou Mague Teranga Couture Chez Pape Thiam,,-17.39149575480516674,14.7655881790329655,,,0
D_295,Ics Devant Patisen,,-17.33827107045444649,14.74972233701725344,,,0
D_296,Pharmacie 24,,-17.31497110352646729,14.77668166358171042,,,0
D_297,Route De Rufisque Devant La Senelec,,-17.31238425271798675,14.74063940972158626,,,0
D_298,Route De Rufisque À Côté De La Station Elton,,-17.31166068835812766,14.74015600551792105,,,0
D_299,En Face Mairie Wahinane Nimzat Et Guédiawayee Fm,,-17.37548983008675307,14.78682903958249462,,,0
D_300,En Face Mosquée Comico De Wakhinane,,-17.37418331876274635,14.78608067194655185,,,0
D_301,Keur Massar,,-17.31324296654316797,14.77937368249547845,,,0
D_302,Terminus Talybou Bess,,-17.38729405497903002,14.76237851400319379,,,0
